imdb_title_id	title	year	genre	director	avg_vote
tt0024008	Female	1933	Comedy, Drama, Romance	Michael Curtiz, William Dieterle	6.7
tt0024025	Carioca	1933	Comedy, Musical, Romance	Thornton Freeland	6.6
tt0024139	Hoopla	1933	Drama	Frank Lloyd	6.5
tt0024193	Jennie	1933	Drama	Marion Gering	6.6
tt0024238	Recluse	1933	Crime, Drama, Romance	Howard Bretherton, William Keighley	6.7
tt0024402	Sobborghi	1933	Drama, War	Boris Barnet	7.1
tt0024453	Pellegrinaggio	1933	Drama	John Ford	7.2
tt0024539	Segreti	1933	Drama, Western	Frank Borzage	6.5
tt0024617	Perdizione	1933	Drama	Stephen Roberts	7.1
tt0024631	Supernatural	1933	Horror, Mystery, Thriller	Victor Halperin	6.2
tt0024684	Topaze	1933	Drama, Comedy	Harry d'Abbadie d'Arrast	6.8
tt0024742	Voltaire	1933	Biography, Drama, History	John G. Adolfi	6.4
tt0024800	Zani	1933	Drama, Romance	Rowland V. Lee	6.7
tt0024830	Angèle	1934	Drama	Marcel Pagnol	7.2
tt0024851	Babbitt	1934	Drama	William Keighley	6.1
tt0024867	Bedside	1934	Drama, Romance	Robert Florey	6.2
tt0024903	Bolero	1934	Drama, Music	Wesley Ruggles, Mitchell Leisen	6.7
tt0024952	Carovane	1934	Musical	Erik Charell	6.2
tt0024963	Incatenata	1934	Drama, Romance	Clarence Brown	6.2
tt0024966	Ciapaiev	1934	Biography, Drama, History	Sergey Vasilev, Georgi Vasilyev	7.3
tt0024991	Cleopatra	1934	Biography, Drama, History	Cecil B. DeMille	6.8
tt0025046	Desirable	1934	Drama, Romance	Archie Mayo	6.4
tt0025189	Oro	1934	Crime, Sci-Fi	Karl Hartl	6.8
tt0025191	Golgota	1935	Adventure, Drama	Julien Duvivier	6.4
tt0025248	Tiremmolla	1934	Adventure, Comedy, Romance	Martin Fric	7.1
tt0025273	Housewife	1934	Drama	Alfred E. Green	6.3
tt0025418	Distruzione	1934	Comedy, Crime, Drama	William A. Wellman	6.5
tt0025461	Tanya	1934	Crime, Drama, Romance	Michael Curtiz	6.7
tt0025465	Maniac	1934	Horror	Dwain Esper	3.7
tt0025478	Mascherata	1934	Comedy, Romance	Willi Forst	7.6
